bias,model,surface,metric,value,p_value,cohens_h,sig,note
framing,GPT-4o-mini T=0.7,canonical,delta_P(A),0.78,0.0,1.9305,***,gain=0.98 loss=0.20
framing,GPT-4o-mini T=0.7,novel,delta_P(A),0.72,0.0,1.7877,***,gain=0.74 loss=0.02
framing,GPT-4o-mini T=0.7,abstract,delta_P(A),0.14,0.036032,0.5392,*,gain=0.98 loss=0.84
framing,GPT-4o-mini T=0.0,canonical,delta_P(A),1.0,0.0,3.1416,***,gain=1.00 loss=0.00
framing,GPT-4o-mini T=0.0,novel,delta_P(A),0.96,0.0,2.7389,***,gain=0.96 loss=0.00
framing,GPT-4o-mini T=0.0,abstract,delta_P(A),0.06,0.241028,0.4949,ns,gain=1.00 loss=0.94
framing,Gemma3:4b T=0.7,canonical,delta_P(A),0.0,1.0,0.0,ns,gain=1.00 loss=1.00
framing,Gemma3:4b T=0.7,novel,delta_P(A),1.0,0.0,3.1416,***,gain=1.00 loss=0.00
framing,Gemma3:4b T=0.7,abstract,delta_P(A),0.04,0.475051,0.4027,ns,gain=1.00 loss=0.96
framing,Gemma3:4b T=0.3,canonical,delta_P(A),0.0,1.0,0.0,ns,gain=1.00 loss=1.00
framing,Gemma3:4b T=0.3,novel,delta_P(A),1.0,0.0,3.1416,***,gain=1.00 loss=0.00
framing,Gemma3:4b T=0.3,abstract,delta_P(A),0.0,1.0,0.0,ns,gain=1.00 loss=1.00
loss_aversion,GPT-4o-mini T=0.7,canonical,lambda_upper_bound,1.05,,,,"all_accept=0.990 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.7,novel,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.7,abstract,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.7,pooled,position_bias,-0.0067,,,,gamble_first=0.993 sq_first=1.000
loss_aversion,GPT-4o-mini T=0.0,canonical,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.0,novel,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.0,abstract,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,GPT-4o-mini T=0.0,pooled,position_bias,0.0,,,,gamble_first=1.000 sq_first=1.000
loss_aversion,Gemma3:4b T=0.7,canonical,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,Gemma3:4b T=0.7,novel,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,Gemma3:4b T=0.7,abstract,lambda_upper_bound,1.05,,,,"all_accept=1.000 (all accepted, lambda<=1.05)"
loss_aversion,Gemma3:4b T=0.7,pooled,position_bias,0.0,,,,gamble_first=1.000 sq_first=1.000
