trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,latency_ms,retry_count,timestamp
gpt-4o-mini__framing__canonical__gain_frame__t00__000,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,858,0,2026-04-30T04:44:54.363478+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__001,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,616,0,2026-04-30T04:44:55.084068+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__002,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,672,0,2026-04-30T04:44:55.861318+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__003,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,782,0,2026-04-30T04:44:56.745140+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__004,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,768,0,2026-04-30T04:44:57.615697+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__005,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,697,0,2026-04-30T04:44:58.414980+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__006,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,619,0,2026-04-30T04:44:59.134594+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__007,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,4981,0,2026-04-30T04:45:04.217133+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__008,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,1052,0,2026-04-30T04:45:05.370437+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__009,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2742,0,2026-04-30T04:45:08.214646+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__010,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,3452,0,2026-04-30T04:45:11.768839+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__011,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,7122,0,2026-04-30T04:45:18.992544+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__012,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,1449,0,2026-04-30T04:45:20.543082+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__013,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2070,0,2026-04-30T04:45:22.715349+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__014,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,900,0,2026-04-30T04:45:23.717261+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__015,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,606,0,2026-04-30T04:45:24.424761+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__016,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,1186,0,2026-04-30T04:45:25.711985+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__017,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,732,0,2026-04-30T04:45:26.545061+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__018,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,1065,0,2026-04-30T04:45:27.713347+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__019,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,801,0,2026-04-30T04:45:28.616327+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__020,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,613,0,2026-04-30T04:45:29.331641+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__021,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,607,0,2026-04-30T04:45:30.041504+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__022,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,586,0,2026-04-30T04:45:30.728649+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__023,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,778,0,2026-04-30T04:45:31.608106+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__024,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,785,0,2026-04-30T04:45:32.494546+00:00
gpt-4o-mini__framing__canonical__gain_frame__t00__025,gpt-4o-mini,framing,canonical,gain_frame,0.0,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,743,0,2026-04-30T04:45:33.339793+00:00
