trial_id,bias,surface,condition,frame,gain_value,loss_value,price_value,order_variant,prompt,expected_parse,human_baseline,ev_option_a,ev_option_b,rational_choice,notes
framing__canonical__gain_frame,framing,canonical,gain_frame,gain,,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B.",A|B,72% choose A (certain option) in gain frame,200,200,Indifferent (EV equal),"Framing effect: same EV, preference shifts by frame"
framing__canonical__loss_frame,framing,canonical,loss_frame,loss,,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B.",A|B,22% choose A (certain option) in loss frame,200,200,Indifferent (EV equal),Loss frame mirror: probabilities are exact mirror of gain frame
framing__novel__gain_frame,framing,novel,gain_frame,gain,,,,,"600 items are in a damaged warehouse.

Plan A: 200 items will be preserved.
Plan B: 1/3 chance all 600 preserved, 2/3 chance none preserved.

Choose A or B.",A|B,72% choose A (certain option) in gain frame,200,200,Indifferent (EV equal),"Framing effect: same EV, preference shifts by frame"
framing__novel__loss_frame,framing,novel,loss_frame,loss,,,,,"600 items are in a damaged warehouse.

Plan A: 400 items will be lost.
Plan B: 1/3 chance none lost, 2/3 chance all 600 lost.

Choose A or B.",A|B,22% choose A (certain option) in loss frame,200,200,Indifferent (EV equal),Loss frame mirror: probabilities are exact mirror of gain frame
framing__abstract__gain_frame,framing,abstract,gain_frame,gain,,,,,"600 units of Resource X are at risk.

Option A: 200 units will be preserved.
Option B: 1/3 chance all 600 preserved, 2/3 chance none preserved.

Choose A or B.",A|B,72% choose A (certain option) in gain frame,200,200,Indifferent (EV equal),"Framing effect: same EV, preference shifts by frame"
framing__abstract__loss_frame,framing,abstract,loss_frame,loss,,,,,"600 units of Resource X are at risk.

Option A: 400 units will be lost.
Option B: 1/3 chance none lost, 2/3 chance all 600 lost.

Choose A or B.",A|B,22% choose A (certain option) in loss frame,200,200,Indifferent (EV equal),Loss frame mirror: probabilities are exact mirror of gain frame
loss_aversion__canonical__gain105__gamble_first,loss_aversion,canonical,gain105_gamble_first,,105,100,,A=gamble B=statusquo,"Option A: 50% chance to gain 105 dollars, 50% chance to lose 100 dollars.
Option B: 0 dollars (no change).

Choose A or B.",A|B,lambda 2.25-2.5 (accept when gain ~225-250),2.5,0,Accept gamble (all EVs positive),lambda estimate = gain_threshold / 100
loss_aversion__canonical__gain105__status_quo_first,loss_aversion,canonical,gain105_status_quo_first,,105,100,,A=statusquo B=gamble,"Option A: 0 dollars (no change).
Option B: 50% chance to gain 105 dollars, 50% chance to lose 100 dollars.

Choose A or B.",A|B,lambda 2.25-2.5 (accept when gain ~225-250),0,2.5,Accept gamble (all EVs positive),lambda estimate = gain_threshold / 100
loss_aversion__canonical__gain120__gamble_first,loss_aversion,canonical,gain120_gamble_first,,120,100,,A=gamble B=statusquo,"Option A: 50% chance to gain 120 dollars, 50% chance to lose 100 dollars.
Option B: 0 dollars (no change).

Choose A or B.",A|B,lambda 2.25-2.5 (accept when gain ~225-250),10.0,0,Accept gamble (all EVs positive),lambda estimate = gain_threshold / 100
loss_aversion__canonical__gain120__status_quo_first,loss_aversion,canonical,gain120_status_quo_first,,120,100,,A=statusquo B=gamble,"Option A: 0 dollars (no change).
Option B: 50% chance to gain 120 dollars, 50% chance to lose 100 dollars.

Choose A or B.",A|B,lambda 2.25-2.5 (accept when gain ~225-250),0,10.0,Accept gamble (all EVs positive),lambda estimate = gain_threshold / 100
