trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,timestamp
gemma3:4b__framing__canonical__gain_frame__t07__000,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:09.904041+00:00
gemma3:4b__framing__canonical__gain_frame__t07__001,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:12.847532+00:00
gemma3:4b__framing__canonical__gain_frame__t07__002,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:15.869093+00:00
gemma3:4b__framing__canonical__gain_frame__t07__003,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:18.775667+00:00
gemma3:4b__framing__canonical__gain_frame__t07__004,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:21.515602+00:00
gemma3:4b__framing__canonical__gain_frame__t07__005,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:24.319795+00:00
gemma3:4b__framing__canonical__gain_frame__t07__006,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:27.130666+00:00
gemma3:4b__framing__canonical__gain_frame__t07__007,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:29.996882+00:00
gemma3:4b__framing__canonical__gain_frame__t07__008,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:32.813489+00:00
gemma3:4b__framing__canonical__gain_frame__t07__009,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:35.716878+00:00
gemma3:4b__framing__canonical__gain_frame__t07__010,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:38.545404+00:00
gemma3:4b__framing__canonical__gain_frame__t07__011,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:41.433238+00:00
gemma3:4b__framing__canonical__gain_frame__t07__012,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:44.198733+00:00
gemma3:4b__framing__canonical__gain_frame__t07__013,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:46.978744+00:00
gemma3:4b__framing__canonical__gain_frame__t07__014,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:49.762928+00:00
gemma3:4b__framing__canonical__gain_frame__t07__015,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:52.535726+00:00
gemma3:4b__framing__canonical__gain_frame__t07__016,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:55.393287+00:00
gemma3:4b__framing__canonical__gain_frame__t07__017,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:07:58.200405+00:00
gemma3:4b__framing__canonical__gain_frame__t07__018,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:01.006132+00:00
gemma3:4b__framing__canonical__gain_frame__t07__019,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:03.914906+00:00
gemma3:4b__framing__canonical__gain_frame__t07__020,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:06.851528+00:00
gemma3:4b__framing__canonical__gain_frame__t07__021,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:09.677339+00:00
gemma3:4b__framing__canonical__gain_frame__t07__022,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:12.594812+00:00
gemma3:4b__framing__canonical__gain_frame__t07__023,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:15.446035+00:00
gemma3:4b__framing__canonical__gain_frame__t07__024,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:18.387147+00:00
gemma3:4b__framing__canonical__gain_frame__t07__025,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:21.305832+00:00
gemma3:4b__framing__canonical__gain_frame__t07__026,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:24.231620+00:00
gemma3:4b__framing__canonical__gain_frame__t07__027,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:26.946785+00:00
gemma3:4b__framing__canonical__gain_frame__t07__028,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:29.744110+00:00
gemma3:4b__framing__canonical__gain_frame__t07__029,gemma3:4b,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T07:08:32.539854+00:00
